_id,timestamp,open,high,low,close,volume
66c11d3ad200ba7478e85a1f,1502956800000,4333.32,4485.39,4333.32,4427.3,63.619882
66c11d3ad200ba7478e85a20,1502971200000,4436.06,4485.39,4333.42,4352.34,174.562001
66c11d3ad200ba7478e85a21,1502985600000,4352.33,4354.84,4200.74,4325.23,225.109716
66c11d3ad200ba7478e85a22,1503000000000,4307.56,4369.69,4258.56,4285.08,249.769913
66c11d3ad200ba7478e85a23,1503014400000,4285.08,4340.62,4134.61,4292.39,276.193043
66c11d3ad200ba7478e85a24,1503028800000,4292.39,4340.62,4234.43,4300.25,248.389029
66c11d3ad200ba7478e85a25,1503043200000,4285,4371.52,4259.85,4340.31,196.140129
66c11d3ad200ba7478e85a26,1503057600000,4320.52,4340.31,4193.7,4236.89,175.969384
66c11d3ad200ba7478e85a27,1503072000000,4234.54,4297.75,4015.7,4136.28,193.64697
66c11d3ad200ba7478e85a28,1503086400000,4135,4136.48,3938.77,4108.37,109.549709
66c11d3ad200ba7478e85a29,1503100800000,4108.37,4184.69,4084.28,4138.55,108.510448
66c11d3ad200ba7478e85a2a,1503115200000,4138.5,4156,3933.21,4033.47,112.752079
66c11d3ad200ba7478e85a2b,1503129600000,4033.47,4082.25,3850,3957.6,77.256042
66c11d3ad200ba7478e85a2c,1503144000000,3945.12,4100,3928.89,3972.05,47.515578
66c11d3ad200ba7478e85a2d,1503158400000,4036.19,4103.92,3953.4,4076.12,25.925056
66c11d3ad200ba7478e85a2e,1503172800000,4088.71,4149.99,4051.47,4139.98,9.35056
66c11d3ad200ba7478e85a2f,1503187200000,4120.98,4139.98,4044,4094.62,6.611283
66c11d3ad200ba7478e85a30,1503201600000,4094.62,4156.56,4081.19,4155.87,28.60391
66c11d3ad200ba7478e85a31,1503216000000,4155.87,4211.08,4032.62,4106.53,36.019943
66c11d3ad200ba7478e85a32,1503230400000,4106.53,4125.43,4063.35,4125,29.113266
66c11d3ad200ba7478e85a33,1503244800000,4125,4185.94,4091.59,4164.6,169.995517
66c11d3ad200ba7478e85a34,1503259200000,4161.59,4171.62,4069.13,4086.29,196.739103
66c11d3ad200ba7478e85a35,1503273600000,4069.13,4119.62,4039,4084.76,220.838143
66c11d3ad200ba7478e85a36,1503288000000,4079.26,4104.68,3953.4,4043.63,222.575129
66c11d3ad200ba7478e85a37,1503302400000,4043.63,4088.12,4000.01,4023.11,78.878314
66c11d3ad200ba7478e85a38,1503316800000,4023.11,4023.11,3911.79,4022,43.762796
66c11d3ad200ba7478e85a39,1503331200000,4005.99,4042.11,3918.8,4027.05,24.46693
66c11d3ad200ba7478e85a3a,1503345600000,4027.05,4070.49,3950,4016,101.221748
66c11d3ad200ba7478e85a3b,1503360000000,4016,4016,3688.97,3862.39,114.685346
66c11d3ad200ba7478e85a3c,1503374400000,3863,3868.57,3400,3798.08,167.221519
66c11d3ad200ba7478e85a3d,1503388800000,3798.08,3920.31,3750.08,3866.48,221.731236
66c11d3ad200ba7478e85a3e,1503403200000,3866.48,3990.12,3786.81,3858.23,179.358421
66c11d3ad200ba7478e85a3f,1503417600000,3858.23,4104.82,3853.47,3984.24,159.535655
66c11d3ad200ba7478e85a40,1503432000000,3984.5,4061.54,3944.03,4040,124.152681
66c11d3ad200ba7478e85a41,1503446400000,4040,4127.99,4013.89,4100.41,159.658384
66c11d3ad200ba7478e85a42,1503460800000,4084.54,4115.87,4035.32,4074.88,141.839603
66c11d3ad200ba7478e85a43,1503475200000,4081.63,4242.32,4057,4237.99,135.024022
66c11d3ad200ba7478e85a44,1503489600000,4205.98,4265.8,4150.65,4197.05,237.360569
66c11d3ad200ba7478e85a45,1503504000000,4226.94,4259.58,4103.51,4117.07,174.637585
66c11d3ad200ba7478e85a46,1503518400000,4136.48,4178.65,4069.8,4114.01,152.616402
66c11d3ad200ba7478e85a47,1503532800000,4147,4204.55,4085.01,4113.58,123.52015
66c11d3ad200ba7478e85a48,1503547200000,4113.58,4177.64,4090.39,4153.32,123.17946
66c11d3ad200ba7478e85a49,1503561600000,4153.8,4250.94,4150,4202,171.486488
66c11d3ad200ba7478e85a4a,1503576000000,4211.78,4250.9,4136.33,4222,146.997342
66c11d3ad200ba7478e85a4b,1503590400000,4223.06,4250.77,4178.22,4216.07,111.579358
66c11d3ad200ba7478e85a4c,1503604800000,4216.1,4371.68,4193.17,4316.01,110.655955
66c11d3ad200ba7478e85a4d,1503619200000,4316.01,4370,4295.75,4312.69,141.104526
66c11d3ad200ba7478e85a4e,1503633600000,4312.69,4362,4267.5,4329,101.509543
66c11d3ad200ba7478e85a4f,1503648000000,4317.81,4361.28,4298.74,4361.27,74.43306
66c11d3ad200ba7478e85a50,1503662400000,4361.27,4422.29,4261.13,4394.36,164.206656
66c11d3ad200ba7478e85a51,1503676800000,4394.36,4453.91,4284.11,4307.17,52.39933
66c11d3ad200ba7478e85a52,1503691200000,4326,4365,4247.48,4280.68,39.959625
66c11d3ad200ba7478e85a53,1503705600000,4280.71,4315,4228.99,4297.94,41.638568
66c11d3ad200ba7478e85a54,1503720000000,4297.94,4319.7,4252.44,4319.7,28.707288
66c11d3ad200ba7478e85a55,1503734400000,4319.7,4319.7,4260.88,4288.72,36.153081
66c11d3ad200ba7478e85a56,1503748800000,4288.72,4306.74,4221.14,4275,34.654984
66c11d3ad200ba7478e85a57,1503763200000,4275,4351.32,4212.41,4293.52,47.431108
66c11d3ad200ba7478e85a58,1503777600000,4293.52,4367,4279,4337.44,39.523039
66c11d3ad200ba7478e85a59,1503792000000,4332.51,4400,4314.91,4314.91,62.980388
66c11d3ad200ba7478e85a5a,1503806400000,4329.19,4370.85,4293.42,4313.84,47.478199
66c11d3ad200ba7478e85a5b,1503820800000,4331.29,4352.34,4285.56,4323.37,57.138682
66c11d3ad200ba7478e85a5c,1503835200000,4340,4340,4285.54,4325,35.277424
66c11d3ad200ba7478e85a5d,1503849600000,4290.01,4386.78,4290.01,4368.41,72.11126
66c11d3ad200ba7478e85a5e,1503864000000,4336.12,4386.79,4309.6,4310.01,75.706632
66c11d3ad200ba7478e85a5f,1503878400000,4310.01,4330.36,4239.36,4239.37,73.295355
66c11d3ad200ba7478e85a60,1503892800000,4239.36,4297.11,4124.54,4261.9,94.397198
66c11d3ad200ba7478e85a61,1503907200000,4261.9,4365.4,4226.93,4308,121.722034
66c11d3ad200ba7478e85a62,1503921600000,4309,4347,4271.03,4273.59,121.858551
66c11d3ad200ba7478e85a63,1503936000000,4317.2,4370.45,4273.59,4321.65,107.225677
66c11d3ad200ba7478e85a64,1503950400000,4321.65,4399.82,4290.18,4386.69,85.342801
66c11d3ad200ba7478e85a65,1503964800000,4353.65,4386.69,4314.35,4376.99,78.862074
66c11d3ad200ba7478e85a66,1503979200000,4363.48,4404.07,4313.55,4329.02,128.456959
66c11d3ad200ba7478e85a67,1503993600000,4328.12,4417.61,4328.12,4368.5,88.051429
66c11d3ad200ba7478e85a68,1504008000000,4368.5,4625.85,4347.59,4570,128.764571
66c11d3ad200ba7478e85a69,1504022400000,4569.65,4584,4496.95,4555.55,127.21423
66c11d3ad200ba7478e85a6a,1504036800000,4540,4624.99,4535.09,4587.48,52.195765
66c11d3ad200ba7478e85a6b,1504051200000,4564.52,4619.99,4527.45,4583.61,119.42503
66c11d3ad200ba7478e85a6c,1504065600000,4600,4647.51,4550.01,4550.02,149.551451
66c11d3ad200ba7478e85a6d,1504080000000,4550,4597,4416.01,4498.35,176.151828
66c11d3ad200ba7478e85a6e,1504094400000,4537,4592.76,4416.16,4546.77,163.013481
66c11d3ad200ba7478e85a6f,1504108800000,4555,4609.92,4532.8,4536.82,84.845278
66c11d3ad200ba7478e85a70,1504123200000,4536.82,4579.91,4516.87,4555.14,115.481703
66c11d3ad200ba7478e85a71,1504137600000,4555.14,4606,4555.14,4593.66,109.650881
66c11d3ad200ba7478e85a72,1504152000000,4596.54,4628.12,4572.64,4592.16,102.998925
66c11d3ad200ba7478e85a73,1504166400000,4603.58,4678.57,4572.64,4656.67,111.874811
66c11d3ad200ba7478e85a74,1504180800000,4674.97,4685.55,4631.41,4648.82,106.997195
66c11d3ad200ba7478e85a75,1504195200000,4648.82,4745.42,4638.98,4698.77,66.803163
66c11d3ad200ba7478e85a76,1504209600000,4688.47,4724.89,4666.84,4724.89,58.631827
66c11d3ad200ba7478e85a77,1504224000000,4689.89,4767,4689.89,4714.73,75.647978
66c11d3ad200ba7478e85a78,1504238400000,4714.73,4734.99,4654.88,4707.5,101.226134
66c11d3ad200ba7478e85a79,1504252800000,4715,4798.46,4708.09,4775,130.966655
66c11d3ad200ba7478e85a7a,1504267200000,4775,4839.92,4725.81,4803.83,68.887712
66c11d3ad200ba7478e85a7b,1504281600000,4756.46,4815.67,4738.94,4813.24,96.951623
66c11d3ad200ba7478e85a7c,1504296000000,4808.79,4885.55,4760.01,4834.91,86.986264
66c11d3ad200ba7478e85a7d,1504310400000,4796.16,4939.19,4764.88,4788.07,145.538528
66c11d3ad200ba7478e85a7e,1504324800000,4765.01,4814.49,4473.35,4697.71,178.769608
66c11d3ad200ba7478e85a7f,1504339200000,4701.02,4709.4,4549.77,4630.01,142.239876
